Channel_1_delta_power,Channel_1_delta_rel_power,Channel_1_theta_power,Channel_1_theta_rel_power,Channel_1_alpha_power,Channel_1_alpha_rel_power,Channel_1_beta_power,Channel_1_beta_rel_power,Channel_2_delta_power,Channel_2_delta_rel_power,Channel_2_theta_power,Channel_2_theta_rel_power,Channel_2_alpha_power,Channel_2_alpha_rel_power,Channel_2_beta_power,Channel_2_beta_rel_power,Channel_3_delta_power,Channel_3_delta_rel_power,Channel_3_theta_power,Channel_3_theta_rel_power,Channel_3_alpha_power,Channel_3_alpha_rel_power,Channel_3_beta_power,Channel_3_beta_rel_power,Channel_4_delta_power,Channel_4_delta_rel_power,Channel_4_theta_power,Channel_4_theta_rel_power,Channel_4_alpha_power,Channel_4_alpha_rel_power,Channel_4_beta_power,Channel_4_beta_rel_power
111778.89744061425,0.7272186933571485,16839.168074060937,0.10955339589519494,5744.567731759913,0.03737339636948494,17163.86238557298,0.11166581405608916,87739.00883583914,0.7127396089118806,13439.964172457921,0.10917828837102717,4935.602844693643,0.04009390678042834,15193.92750857257,0.12342644502124785,144780.75619780863,0.7800364260671498,18782.39936355173,0.1011940817085783,5450.185642334332,0.029364008321938254,14500.728615166912,0.07812569032924868,97031.30640022033,0.741932983175212,15395.344206498705,0.117717817866161,3921.9560320395804,0.029988553660517708,13180.480070836318,0.10078224504472726
48416.541915338676,0.5988224707648928,12027.55376543053,0.14875844449334666,3809.5471676118595,0.04711700499787286,15906.488992646428,0.1967336505863396,54170.72368312764,0.6265514527898661,11920.73318838562,0.137878030598098,3683.4854386144984,0.04260406721524126,15968.555724050435,0.18469610718854015,67828.7877802015,0.6782013395973232,11446.493717721105,0.1144503333629787,4031.098714148321,0.040305844132783306,15744.901486654098,0.1574289270018998,55631.716249617326,0.6187850940188276,13922.880776136302,0.15486257967340153,3797.3893019136385,0.04223791848641528,15741.714283740523,0.17509325272971252
97324.76163894057,0.7362897890246852,12284.510506571316,0.0929358520569543,3520.8726957109766,0.02663641370040173,16683.334309786434,0.12621421817349812,87898.75016990415,0.7456836428951036,10093.667838632211,0.08562901053241019,2894.2763490091875,0.024553415461568955,14499.03236237952,0.12300164961998515,98548.36023895816,0.7469877998554507,12188.36349472582,0.09238671053163314,3262.4105509487003,0.024728781623248063,16838.670765776784,0.12763562577112722,99636.44213595704,0.7187242745082375,15398.331238616456,0.11107536771546564,4335.937365163835,0.03127714489080399,18285.033385373845,0.13189850091524935
47884.38498199664,0.6211498280851941,9841.2717321269,0.12765965871439316,3235.226354531291,0.04196692292674003,15294.267052186202,0.19839518360163313,58097.861196473954,0.6467015157286166,10648.74071663043,0.11853373980080163,4202.828344670022,0.0467827111854206,16110.005671956787,0.1793244169732598,53849.425679613036,0.6255703416977009,8811.081543553042,0.10235859013095404,2675.853143421481,0.031085463663483064,20098.28183444343,0.23348232364657265,47422.60377162032,0.6032298022325345,8529.705864962812,0.1085004274923937,2598.156525915402,0.03304933349600357,19407.046844342723,0.2468634806770416
39712.12361477499,0.5767298522583292,5987.074317177308,0.0869488753585728,2461.8493757651713,0.035752860777232755,20002.64970185551,0.29049378772164675,50744.5688675921,0.6383433329152562,7981.437869401481,0.10040281678821451,2794.042930805987,0.035147774758178506,17450.248802963102,0.21951610250447873,51091.582517377916,0.6127936391479188,8387.697496467352,0.10060224051944094,3057.06047549719,0.03666645505133852,19894.273687132354,0.23861238525535855,52666.96151497166,0.6240636815677254,8378.08592495569,0.09927398498833644,2460.826331285031,0.0291589318203591,19957.370501944715,0.23647975413038108
47140.020099603425,0.5868839532807317,9694.668028849152,0.12069670497580408,3587.90824650398,0.04466875006136259,18810.496360557532,0.23418696988102672,30934.82136624161,0.5274197667053028,6946.560020085087,0.11843459581750879,2283.4963237231514,0.038932214415331,17986.85160725275,0.30666480876507196,25692.51607917933,0.437931672479998,5119.040311503239,0.08725458721911017,1501.9189300660946,0.025600368097316507,25791.946146454444,0.4396264685646787,33506.95738275596,0.4947396962106787,6508.992921357913,0.09610712019490457,2136.592152521119,0.03154738702143164,25183.603960229015,0.3718430304025702
48651.94028135018,0.6603079501758915,6578.563134252843,0.08928477493725627,2161.4414360191977,0.029335252731742933,15440.927646063432,0.20956548133178476,32274.931047626542,0.5422811511969833,6743.002528016355,0.11329546043091485,1983.7973648344287,0.03333162562474528,17761.954616595824,0.29843512857650173,41355.158246867635,0.6003997833530834,6319.955126729452,0.09175396370722337,1761.6244734520224,0.02557550247773978,18804.636492051013,0.273008257119076,41130.30264655102,0.5828000187813878,6125.0239272328345,0.08678915131024642,1755.847218830825,0.024879656269625378,20467.604436481684,0.29001780882815376
42166.57750794975,0.5742069882792348,7787.372011418048,0.10604520673852014,2656.997055484255,0.03618188544727805,20097.722815479356,0.27368246538319496,40932.956033402486,0.5408704753621213,10910.362060965344,0.14416483162055815,3025.8930625756957,0.03998284946278336,20027.930177806757,0.26464045516160783,35813.701206658356,0.5365458488069911,6665.448417225069,0.0998589522502171,1750.793651610765,0.026229656088009774,21932.969716620388,0.32859055213411575,36552.36768538611,0.5491245040155263,7717.5533196211,0.11594044126845046,2705.1595352453633,0.040639484721215,19090.183169012827,0.2867909256789635
39148.58125224887,0.6282537083567419,5834.826803876356,0.09363689461783649,2084.6995662480585,0.03345511360593171,14630.374863261874,0.2347872379657571,37740.837366367676,0.6317355604119516,6048.938994934056,0.10125185694124816,2093.0715850831825,0.03503546405049243,13068.967300581231,0.2187585638731883,30048.064664644455,0.5094376286435884,5282.232411605959,0.08955545003466146,1648.498566425741,0.027948795034724132,21641.798437128782,0.36691702438879387,27788.71235056289,0.48545139928186476,4822.7884220595715,0.0842510929759497,1651.0672601996598,0.028843110888373494,22462.653305052823,0.3924084837381972
30110.833021140414,0.5712447948188999,5799.361568560712,0.11002203449460086,1959.664799808038,0.037177593714999964,14347.435682699099,0.2721910067046826,39387.09541948299,0.6026094023231738,8374.07828312676,0.1281206002996178,2382.338003983228,0.03644897562062881,14379.835718702798,0.22000668278947352,30258.87121861801,0.5539923710741469,6840.807111863895,0.12524442582744344,2569.6217144956945,0.04704573465718663,14511.451180000622,0.2656818619852813,34869.97734217829,0.5636500770312792,9331.75507367698,0.15084163704783424,2589.3188443001354,0.041854623297473664,14236.607002112296,0.2301253182547484
