Channel_1_delta_power,Channel_1_delta_rel_power,Channel_1_theta_power,Channel_1_theta_rel_power,Channel_1_alpha_power,Channel_1_alpha_rel_power,Channel_1_beta_power,Channel_1_beta_rel_power,Channel_2_delta_power,Channel_2_delta_rel_power,Channel_2_theta_power,Channel_2_theta_rel_power,Channel_2_alpha_power,Channel_2_alpha_rel_power,Channel_2_beta_power,Channel_2_beta_rel_power,Channel_3_delta_power,Channel_3_delta_rel_power,Channel_3_theta_power,Channel_3_theta_rel_power,Channel_3_alpha_power,Channel_3_alpha_rel_power,Channel_3_beta_power,Channel_3_beta_rel_power,Channel_4_delta_power,Channel_4_delta_rel_power,Channel_4_theta_power,Channel_4_theta_rel_power,Channel_4_alpha_power,Channel_4_alpha_rel_power,Channel_4_beta_power,Channel_4_beta_rel_power
50260.580095524405,0.6245259736833337,9215.127957007502,0.11450498082251738,3155.9135228258992,0.039214628282389315,17062.76491011999,0.21201784477953953,52945.206147709054,0.6032471413702258,13183.22977416925,0.1502070962403565,4230.792398699417,0.04820480655275981,16773.09904121361,0.19110935219145628,61377.82212480318,0.6542640701388976,9515.811014293184,0.10143489992565413,3400.6066787167656,0.036249164430023906,18248.101696893376,0.19451777328041306,75040.41757370463,0.690225176209916,9285.177768995552,0.08540548772200753,3740.578706809135,0.03440601319280389,18584.26425543677,0.17093890846011747
103050.53532211595,0.6963242005472113,15849.604239565257,0.10709758048909819,5672.345567429417,0.038328684854683444,21471.536531169462,0.14508561709895468,105824.17485977408,0.684157606004194,18420.606877468796,0.11908997465969325,6143.371275093035,0.03971714582166085,22542.119073016587,0.14573571908018593,94465.51834912726,0.6978141757912547,12972.364122352828,0.09582649559649946,4333.5879210006315,0.032012094319280586,22190.917618923664,0.16392369574547422,154051.48327956616,0.727784935188233,20245.803573580175,0.09564718578458622,6237.335795224081,0.029467025768498575,28000.305103599185,0.13228175283513616
82585.69021526596,0.6306246848598128,18198.445689235585,0.13896340937271962,6250.910256024685,0.047731977537724374,22461.843289280558,0.17151873174094578,114275.2852603805,0.7316242574992353,15288.15613029047,0.09787930830249328,4996.4818002098555,0.03198895788234243,19822.782624936182,0.12691133158401174,110090.49213946176,0.7322387380778255,14163.9618961165,0.09420796822178196,4202.374538134809,0.027951018920290765,20285.01229082461,0.1349205686437511,126880.8098254553,0.7224475245338023,17778.45547438439,0.10122887113640268,5971.12142258345,0.03399900975072997,22421.636983622862,0.12766671458904963
97362.88921236165,0.6576836702674491,17678.522660591196,0.11941794006301618,6053.953898357305,0.040894294034528746,24953.464400285946,0.1685599737788442,111088.53172449686,0.6921404364392579,16736.74589798363,0.1042787984553841,5663.4011711877465,0.035285991249554845,25172.218790599298,0.1568362658989748,135036.958416473,0.7236904592971211,17105.628678251094,0.09167253483709552,5613.5080544253215,0.03008392865045142,26499.765125242062,0.1420176181368493,137212.15055188147,0.7208493250720303,17485.543127269666,0.09186097522058977,5195.529605580251,0.02729491516976243,27272.74913476372,0.14327843946458466
22842.17709582782,0.4505945781764232,5837.824534523891,0.11515942953100702,1809.1472475342082,0.035688014213435475,19782.982139216678,0.39024758693952316,89881.65597377828,0.665439222585381,15547.25334784853,0.11510415633806877,5399.047564426706,0.03997187162441392,22731.501975805793,0.1682927716350841,71100.39109500512,0.6236482777520859,13006.655941374403,0.11408627227258569,4441.474700747911,0.03895784545122545,23988.762903163417,0.21041446382440485,95578.00392371745,0.6904598785122644,13367.781163991669,0.0965694634702226,4340.8669850664955,0.031358621943381744,23227.04415021725,0.16779323090862727
47897.61321231194,0.6373569697632127,8721.520566441723,0.11605425713626127,3352.937756623357,0.044616382843410934,14687.808749671065,0.19544559006847628,72505.39557407872,0.6626855598730041,11202.317863142234,0.10238705997303421,4389.981611677517,0.040123599066422634,19537.44428724233,0.17856853415482277,85255.7833407816,0.7037649934533987,11981.144753237037,0.09890132878285021,4008.007779728625,0.03308509356587688,17977.8417904074,0.1484025507027417,88064.26684455818,0.6888875826070572,13587.269877787106,0.10628716772104531,4847.89303658489,0.037922910555825744,19499.226720574934,0.15253377606554006
114390.6351955302,0.7281456770739461,14961.113963261832,0.09523393622160281,5536.342598972548,0.035241205919973054,20037.159618920465,0.12754515378307538,124458.3481702977,0.6961434294839622,18284.298152444142,0.1022711148643336,6700.797027071008,0.03748013605578607,25789.796013156032,0.14425225230953917,120244.80797515155,0.7674654573154003,13007.677915264012,0.0830218256235437,4318.139704084261,0.02756063333255648,16327.964572505532,0.1042136372346086,100069.74062247343,0.7543085821867015,9998.499213205234,0.07536697625669608,3651.672707889731,0.027525684045588295,16628.345449168846,0.12534162277079378
66291.77608208568,0.6382818767528635,10667.322195584824,0.10270894571438884,3432.954054090721,0.03305375848941106,21635.11798016107,0.20831096290205717,84266.83798010676,0.6751680108895602,13259.846349944515,0.10624136729690414,4835.861407648054,0.03874619014789795,21156.257892980415,0.16950948797725432,80553.54796948575,0.6912918063283919,13014.133317112675,0.11168426413686074,4794.11394282121,0.041141970413673394,16406.423793878083,0.14079611172626905,72432.05923956464,0.6846881366985559,11838.615978965721,0.11190845601832859,3786.439355505074,0.03579257768260066,16043.088728647268,0.1516526334309576
77815.50025863867,0.6554572696534731,15255.790511690062,0.12850291731032898,5185.605743474951,0.043679510776390935,19476.39721310741,0.16405402648006093,44937.85018155084,0.6279592341713793,8275.444214103534,0.11564063679329947,2295.942854504683,0.03208338874225725,15275.84957041524,0.2134639454001602,50007.18692092864,0.6566287150921067,10174.195465178302,0.13359417529243228,3153.42952730883,0.04140669584002776,12189.078089557881,0.16005096820901346,43163.47759750878,0.6308563708710222,8969.090070700473,0.13108785313313095,2766.0289044359147,0.040426931598243204,12535.217318196319,0.18320863251976086
61401.166483232824,0.6346878656049522,10845.264140118536,0.11210467069698814,3925.2872336141054,0.04057467176733893,19238.171956739192,0.1988599728100958,75063.78753608564,0.6644910245157227,14784.578394309168,0.13087828321405567,4119.64782731428,0.03646857020237682,17567.40201578418,0.15551281578932083,51964.39316342598,0.6248024488633508,13116.99663492275,0.15771437171328917,4430.155254714548,0.05326670212977045,12765.697394251141,0.15349046737238478,57462.242287881774,0.6373800935139966,13484.120977760638,0.1495679588468064,4239.943448910215,0.0470301095878114,13588.680999166945,0.150727754802695
